"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_5904: Degree in medicine, dentistry, veterinary medicine or optometry","v_CA21_5907: Master's degree","v_CA21_5910: Earned doctorate","v_CA21_6519: Did not work","v_CA21_6526: Worked full year full time","v_CA21_6522: Worked","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6573: 1 Business, finance and administration occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7635: Car, truck or van","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method"
"11","35240109","DA","35240109",0.0946,315,100,97,"3524001","3524","5350612.12","35535",0,30,10,120,45,120,0,40,10,10,15,0,40,10,0,0,60,0,0,0,0
"12","35240110","DA","35240110",0.124,349,117,116,"3524001","3524","5350612.12","35535",0,20,0,100,55,160,0,20,30,10,20,0,25,20,0,0,45,10,0,0,0
"13","35240111","DA","35240111",0.1676,751,286,279,"3524001","3524","5350613.01","35535",0,35,0,200,120,360,0,80,40,20,50,45,40,50,0,15,170,15,10,0,0
"14","35240112","DA","35240112",0.1818,437,151,144,"3524001","3524","5350613.01","35535",0,10,0,110,55,245,0,70,15,0,20,0,75,35,15,0,155,0,0,0,0
"15","35240113","DA","35240113",0.1989,375,111,110,"3524001","3524","5350613.01","35535",0,15,0,90,50,150,0,20,20,15,25,15,30,25,0,0,45,0,0,0,0
"16","35240114","DA","35240114",1.0125,1200,440,432,"3524001","3524","5350613.01","35535",10,100,15,340,180,590,10,135,70,45,100,20,110,35,0,10,205,10,0,0,0
"17","35240115","DA","35240115",0.1175,425,124,122,"3524001","3524","5350612.12","35535",0,30,10,170,45,230,0,70,40,0,45,0,60,20,0,0,95,0,0,0,15
"18","35240116","DA","35240116",0.0628,312,111,109,"3524001","3524","5350613.01","35535",0,35,0,65,45,185,0,40,15,0,20,0,40,35,10,0,90,10,10,0,0
"19","35240117","DA","35240117",0.1084,493,183,177,"3524001","3524","5350613.01","35535",0,35,10,180,80,240,0,35,30,10,20,15,65,20,0,25,125,0,0,0,0
"20","35240118","DA","35240118",0.1658,701,267,262,"3524001","3524","5350613.01","35535",0,45,0,185,130,395,0,55,65,10,25,30,130,40,0,20,195,0,0,0,10
"21","35240120","DA","35240120",0.2315,608,208,202,"3524001","3524","5350613.03","35535",15,30,0,245,105,310,0,100,40,15,30,0,85,45,0,0,130,10,0,0,0
"22","35240123","DA","35240123",0.2413,857,354,341,"3524001","3524","5350613.03","35535",0,50,10,250,110,440,10,75,65,20,25,25,110,75,0,25,210,15,25,0,0
"23","35240124","DA","35240124",0.2716,443,165,158,"3524001","3524","5350613.03","35535",0,0,0,155,45,175,0,25,10,0,10,0,40,55,0,10,120,10,0,0,0
"24","35240125","DA","35240125",0.1738,352,125,115,"3524001","3524","5350613.03","35535",0,35,0,120,85,260,0,65,35,10,10,10,115,25,0,0,120,0,0,0,15
"25","35240126","DA","35240126",0.7371,482,167,162,"3524001","3524","5350614.01","35535",0,45,0,145,55,240,0,55,30,15,30,10,60,35,0,10,60,15,10,0,15
"26","35240127","DA","35240127",0.2266,484,180,175,"3524001","3524","5350614.01","35535",0,25,0,180,65,230,0,45,25,10,15,20,85,25,0,0,90,0,0,0,0
"27","35240128","DA","35240128",0.1409,720,254,247,"3524001","3524","5350614.02","35535",10,30,0,180,110,405,0,90,25,30,65,15,85,50,0,10,165,0,0,0,0
"28","35240129","DA","35240129",0.2423,478,183,181,"3524001","3524","5350614.02","35535",0,30,0,140,70,275,15,55,35,10,15,10,60,45,0,0,120,0,0,0,0
"29","35240130","DA","35240130",0.2183,491,172,170,"3524001","3524","5350614.01","35535",0,35,0,140,100,295,10,60,35,25,30,0,65,25,0,15,120,0,10,0,0
"30","35240131","DA","35240131",0.1578,474,173,172,"3524001","3524","5350614.02","35535",0,35,0,130,75,245,0,65,25,20,25,15,40,40,0,0,115,0,0,0,0
"31","35240132","DA","35240132",0.153,514,183,182,"3524001","3524","5350614.02","35535",0,15,0,175,100,270,10,45,15,15,55,10,70,40,0,20,135,0,0,0,10
"32","35240134","DA","35240134",2.8644,503,166,162,"3524001","3524","5350600.02","35535",0,10,0,135,30,215,0,75,20,10,15,0,30,40,0,15,85,15,10,0,0
"33","35240135","DA","35240135",0.7764,636,219,208,"3524001","3524","5350601.00","35535",0,50,0,170,120,275,25,80,30,25,40,0,45,25,0,0,115,15,0,0,25
"34","35240136","DA","35240136",0.1876,453,146,141,"3524001","3524","5350601.00","35535",15,35,0,160,85,215,20,50,20,30,10,10,45,0,0,0,105,0,0,0,0
"35","35240137","DA","35240137",0.2875,508,157,155,"3524001","3524","5350601.00","35535",10,90,0,190,100,290,25,65,35,25,15,15,45,40,10,15,95,15,0,0,15
"36","35240138","DA","35240138",0.3416,442,144,142,"3524001","3524","5350601.00","35535",10,75,10,120,95,260,25,45,25,20,25,10,85,20,0,0,95,0,10,0,0
"37","35240139","DA","35240139",0.2784,437,137,135,"3524001","3524","5350601.00","35535",10,45,0,170,65,190,10,40,10,10,10,10,50,20,0,0,65,0,0,0,0
"38","35240140","DA","35240140",0.5217,578,201,188,"3524001","3524","5350601.00","35535",25,85,10,240,85,295,45,85,35,40,40,0,30,10,0,10,100,0,0,0,0
"39","35240141","DA","35240141",0.3449,415,128,122,"3524001","3524","5350601.00","35535",0,20,0,115,80,245,35,50,25,25,0,10,50,10,25,0,70,0,0,0,35
"40","35240142","DA","35240142",0.2711,429,139,134,"3524001","3524","5350600.01","35535",10,20,0,165,50,150,15,65,0,20,15,0,25,10,0,0,70,0,0,0,0
"41","35240143","DA","35240143",0.2352,571,183,177,"3524001","3524","5350600.01","35535",0,70,25,105,105,355,30,80,30,25,50,15,60,20,0,10,130,10,0,0,0
"42","35240144","DA","35240144",0.3575,568,192,188,"3524001","3524","5350600.01","35535",0,65,0,215,80,270,20,60,25,20,30,15,75,20,0,0,100,0,0,0,0
"43","35240145","DA","35240145",0.1811,520,195,189,"3524001","3524","5350600.01","35535",0,50,0,210,80,255,15,75,35,10,50,20,25,10,0,0,65,0,0,0,10
"44","35240146","DA","35240146",0.1989,450,149,149,"3524001","3524","5350600.01","35535",0,75,0,135,65,210,15,60,30,10,30,0,70,0,0,0,65,10,0,0,0
"45","35240147","DA","35240147",1.7225,718,236,231,"3524001","3524","5350600.01","35535",0,40,0,230,100,330,15,60,40,25,40,20,70,30,0,0,140,0,0,0,10
"46","35240148","DA","35240148",0.6196,566,180,178,"3524001","3524","5350600.01","35535",0,70,0,155,95,320,20,60,30,15,45,20,80,0,0,0,90,10,10,0,0
"47","35240150","DA","35240150",0.0794,460,149,148,"3524001","3524","5350600.02","35535",0,30,0,130,110,285,0,80,65,20,30,25,70,10,0,10,150,20,0,0,0
"48","35240152","DA","35240152",0.1624,525,169,167,"3524001","3524","5350600.02","35535",0,50,10,160,80,265,0,55,20,10,25,35,45,30,0,20,100,0,0,0,10
"49","35240153","DA","35240153",0.0744,363,107,107,"3524001","3524","5350600.02","35535",0,25,0,60,70,190,0,55,30,15,10,0,10,0,0,15,85,0,0,0,0
"50","35240154","DA","35240154",0.1067,468,144,141,"3524001","3524","5350600.02","35535",0,40,0,85,80,270,0,85,30,10,45,10,30,25,0,0,80,0,0,0,10
"51","35240155","DA","35240155",0.082,444,145,144,"3524001","3524","5350600.02","35535",0,35,0,150,55,145,0,40,20,20,10,0,25,15,0,0,60,10,0,0,15
"52","35240156","DA","35240156",0.2625,568,177,174,"3524001","3524","5350600.02","35535",0,65,0,145,105,285,0,70,50,10,60,0,60,20,0,10,105,15,0,0,0
"53","35240157","DA","35240157",0.5956,434,128,127,"3524001","3524","5350600.02","35535",0,40,0,180,105,255,10,70,50,10,25,15,70,25,0,10,125,0,0,0,0
"54","35240158","DA","35240158",0.1057,419,126,123,"3524001","3524","5350600.02","35535",0,20,0,120,65,195,10,50,30,10,25,10,25,10,0,0,55,0,0,0,15
"55","35240159","DA","35240159",0.1027,368,118,117,"3524001","3524","5350600.02","35535",0,55,0,95,65,205,0,45,25,10,35,0,55,15,0,0,80,10,0,0,0
"56","35240160","DA","35240160",0.2729,588,191,190,"3524001","3524","5350600.02","35535",0,65,10,220,65,305,0,85,40,15,25,20,80,15,0,0,50,15,0,0,15
"57","35240161","DA","35240161",0.2724,596,176,172,"3524001","3524","5350600.02","35535",0,45,0,235,90,245,0,65,60,10,20,20,60,10,0,0,70,0,0,0,20
"58","35240162","DA","35240162",0.1144,455,140,139,"3524001","3524","5350600.02","35535",0,55,0,165,65,230,10,55,50,15,15,0,55,40,0,0,115,10,0,0,0
"59","35240165","DA","35240165",0.3556,963,315,313,"3524001","3524","5350612.28","35535",15,125,10,275,155,535,15,205,65,35,55,20,85,15,0,10,195,15,0,0,20
"60","35240166","DA","35240166",0.0956,377,122,121,"3524001","3524","5350612.25","35535",0,10,0,110,60,235,15,45,45,0,20,0,40,25,0,0,120,10,0,0,0
"61","35240167","DA","35240167",0.1602,441,135,135,"3524001","3524","5350612.25","35535",0,30,0,165,60,175,10,45,25,15,35,0,20,0,10,0,80,0,0,0,0
"62","35240168","DA","35240168",0.2098,718,250,246,"3524001","3524","5350614.02","35535",0,50,10,190,110,370,10,65,45,30,65,0,70,65,0,0,190,10,0,0,10
"63","35240169","DA","35240169",0.1171,756,273,271,"3524001","3524","5350614.01","35535",0,45,10,165,180,505,15,105,30,35,50,15,150,60,0,35,250,30,15,0,0
"64","35240170","DA","35240170",0.1729,437,171,169,"3524001","3524","5350612.25","35535",0,35,0,105,65,220,10,55,20,10,35,0,30,35,15,0,95,0,15,0,0
"65","35240171","DA","35240171",0.0966,432,140,139,"3524001","3524","5350612.25","35535",0,50,0,135,70,240,0,65,35,20,55,0,20,25,0,0,80,0,10,0,0
"66","35240172","DA","35240172",0.1089,424,137,135,"3524001","3524","5350612.25","35535",0,25,10,145,80,225,20,50,45,0,35,0,55,0,0,0,65,0,0,0,0
"67","35240173","DA","35240173",0.1113,444,136,133,"3524001","3524","5350612.08","35535",0,35,10,130,65,240,10,65,30,0,30,0,65,25,0,0,105,15,10,0,0
"68","35240174","DA","35240174",0.0607,227,74,73,"3524001","3524","5350612.08","35535",0,25,0,105,45,120,0,25,30,0,15,0,25,10,0,0,20,0,0,0,0
"69","35240175","DA","35240175",0.3,597,185,183,"3524001","3524","5350612.08","35535",0,25,0,250,65,255,0,35,25,10,35,25,50,50,0,0,125,0,0,0,0
"70","35240176","DA","35240176",0.0949,409,126,122,"3524001","3524","5350612.08","35535",0,30,0,110,40,205,0,35,20,15,35,0,90,15,0,0,115,25,0,0,10
"71","35240177","DA","35240177",0.1145,465,147,142,"3524001","3524","5350612.08","35535",0,15,0,195,50,230,0,30,15,10,15,30,90,40,0,0,125,0,10,0,0
"72","35240179","DA","35240179",0.1715,474,154,151,"3524001","3524","5350612.27","35535",0,35,0,175,90,290,10,80,35,0,35,10,45,40,0,10,120,15,0,0,15
"73","35240180","DA","35240180",0.0516,254,87,87,"3524001","3524","5350612.27","35535",0,10,0,95,20,110,0,15,15,0,15,0,25,25,0,15,50,0,0,0,0
"74","35240181","DA","35240181",0.1979,615,216,212,"3524001","3524","5350612.27","35535",0,70,15,155,125,345,10,90,55,10,40,15,55,35,0,0,130,15,0,0,0
"75","35240182","DA","35240182",0.0807,361,116,115,"3524001","3524","5350612.27","35535",0,25,10,125,80,185,10,30,35,15,25,0,20,20,0,10,75,0,0,0,0
"76","35240184","DA","35240184",0.2143,976,448,440,"3524001","3524","5350612.27","35535",0,50,0,360,125,520,10,100,60,25,60,40,115,65,0,25,255,20,0,0,0
"77","35240188","DA","35240188",0.1088,478,154,152,"3524001","3524","5350612.25","35535",0,50,15,115,110,290,20,80,40,40,35,0,60,0,0,0,115,25,10,0,10
"78","35240189","DA","35240189",0.5951,1023,402,397,"3524001","3524","5350613.03","35535",0,75,20,370,120,550,0,85,40,50,95,30,130,80,15,20,280,25,0,0,15
"79","35240192","DA","35240192",0.1436,525,189,181,"3524001","3524","5350613.04","35535",0,30,0,165,65,200,10,60,15,0,40,10,40,15,0,10,95,20,0,0,0
"80","35240193","DA","35240193",0.1452,1074,476,428,"3524001","3524","5350613.04","35535",0,25,0,330,130,530,0,65,60,25,40,80,170,55,0,15,210,40,45,10,25
"81","35240194","DA","35240194",0.3123,770,369,357,"3524001","3524","5350613.04","35535",0,35,10,355,115,415,0,70,40,25,30,0,135,60,0,0,180,15,15,0,0
"82","35240195","DA","35240195",0.0627,631,265,254,"3524001","3524","5350613.04","35535",0,50,0,135,115,480,0,110,30,55,40,10,160,60,0,10,240,60,20,0,10
"83","35240196","DA","35240196",0.1524,420,135,134,"3524001","3524","5350614.01","35535",0,45,0,120,110,210,10,65,30,10,30,15,30,10,0,0,70,0,0,0,0
"84","35240197","DA","35240197",0.1332,508,177,176,"3524001","3524","5350614.01","35535",0,20,0,160,80,260,0,65,20,30,25,15,75,45,0,0,160,15,0,0,0
"85","35240198","DA","35240198",0.1385,452,154,150,"3524001","3524","5350600.01","35535",10,70,0,155,55,205,0,60,15,10,25,20,40,0,0,0,55,15,0,0,0
"86","35240199","DA","35240199",0.2147,519,162,159,"3524001","3524","5350600.01","35535",0,70,10,155,100,275,30,75,30,15,35,0,65,0,0,10,95,0,0,0,0
"87","35240200","DA","35240200",0.2253,458,155,151,"3524001","3524","5350600.01","35535",0,70,0,145,90,250,0,70,30,15,25,0,65,20,10,0,90,0,0,0,0
"88","35240201","DA","35240201",0.26,439,130,129,"3524001","3524","5350600.01","35535",10,45,0,120,85,235,10,65,15,20,15,10,50,15,0,0,85,0,0,0,0
"89","35240202","DA","35240202",0.5187,583,200,194,"3524001","3524","5350600.01","35535",0,40,10,200,70,255,15,55,25,15,15,15,40,30,0,0,75,0,10,0,0
"90","35240203","DA","35240203",0.5163,492,177,169,"3524001","3524","5350602.00","35535",10,25,0,140,80,215,25,40,25,25,10,0,40,10,0,0,90,0,0,0,15
"91","35240204","DA","35240204",0.3619,412,132,127,"3524001","3524","5350602.00","35535",0,30,10,145,70,170,25,60,15,0,15,10,35,15,0,0,85,0,0,0,0
"92","35240205","DA","35240205",0.3079,418,127,121,"3524001","3524","5350602.00","35535",10,65,0,175,50,200,15,40,20,15,15,10,25,25,0,0,45,0,0,0,0
"93","35240206","DA","35240206",0.4077,499,177,173,"3524001","3524","5350602.00","35535",15,30,0,130,70,260,30,60,15,20,20,0,50,0,20,0,135,0,0,0,20
"94","35240207","DA","35240207",0.244,569,184,180,"3524001","3524","5350602.00","35535",10,80,0,170,100,290,10,105,25,20,40,15,45,0,10,0,80,10,10,0,0
"95","35240208","DA","35240208",0.1813,566,218,211,"3524001","3524","5350602.00","35535",0,105,15,145,130,330,30,115,25,10,55,15,40,0,0,0,70,15,0,0,0
"96","35240209","DA","35240209",0.2499,611,224,209,"3524001","3524","5350602.00","35535",0,30,0,155,70,270,15,95,15,15,30,0,60,20,15,0,110,10,0,0,0
"97","35240210","DA","35240210",0.8702,800,404,382,"3524001","3524","5350602.00","35535",10,55,0,315,120,320,20,60,35,20,40,20,80,30,0,0,80,25,0,0,0
"98","35240211","DA","35240211",0.8577,484,186,180,"3524001","3524","5350602.00","35535",0,40,15,150,85,210,25,65,20,20,20,0,25,30,0,10,90,10,0,0,0
"99","35240212","DA","35240212",0.5118,690,209,202,"3524001","3524","5350601.00","35535",10,95,15,175,135,365,40,100,50,35,55,0,40,0,0,0,85,15,0,0,0
"100","35240213","DA","35240213",0.1168,792,414,373,"3524001","3524","5350604.00","35535",0,30,0,275,80,295,0,85,20,15,30,25,75,25,0,0,120,10,20,0,0
"101","35240214","DA","35240214",0.3979,646,269,250,"3524001","3524","5350604.00","35535",15,75,0,190,105,335,45,100,30,30,20,25,45,0,0,0,115,10,10,0,0
"102","35240215","DA","35240215",0.144,423,230,212,"3524001","3524","5350604.00","35535",10,30,0,155,70,260,20,75,15,20,35,15,40,0,10,0,80,0,15,0,0
"103","35240216","DA","35240216",0.2084,521,380,355,"3524001","3524","5350604.00","35535",0,15,0,315,45,145,0,35,10,15,35,0,45,15,0,0,70,15,10,0,0
"104","35240217","DA","35240217",0.1449,736,312,302,"3524001","3524","5350603.00","35535",0,20,0,270,115,415,0,65,30,25,30,30,175,50,0,10,185,40,50,0,0
"105","35240218","DA","35240218",0.1516,441,183,172,"3524001","3524","5350603.00","35535",0,35,0,150,60,230,0,40,30,0,15,15,75,45,10,0,100,10,10,0,0
"106","35240219","DA","35240219",0.1872,600,251,244,"3524001","3524","5350603.00","35535",0,40,10,185,75,295,0,70,35,25,40,0,65,40,0,0,125,15,10,0,0
"107","35240220","DA","35240220",0.146,1068,612,583,"3524001","3524","5350603.00","35535",0,55,0,320,200,635,0,85,65,60,50,30,210,70,0,55,295,80,40,20,15
"108","35240221","DA","35240221",0.2872,1254,707,655,"3524001","3524","5350603.00","35535",20,165,10,305,285,785,10,125,115,70,90,45,170,125,0,40,355,30,0,0,10
"109","35240222","DA","35240222",1.7965,397,146,144,"3524001","3524","5350606.00","35535",0,25,0,150,40,195,0,45,0,15,15,0,40,40,0,10,130,0,0,0,0
"110","35240223","DA","35240223",0.0958,398,214,201,"3524001","3524","5350606.00","35535",0,20,0,125,40,185,0,50,10,0,40,0,30,20,10,10,90,0,25,0,0
"111","35240224","DA","35240224",0.0334,587,290,273,"3524001","3524","5350603.00","35535",0,20,0,135,90,350,0,35,0,60,25,0,110,80,10,10,165,65,10,0,20
"112","35240225","DA","35240225",0.0709,425,222,213,"3524001","3524","5350606.00","35535",0,15,15,140,55,260,0,25,30,25,40,10,80,50,0,0,155,10,10,0,0
"113","35240226","DA","35240226",0.1325,497,275,259,"3524001","3524","5350606.00","35535",0,10,0,185,45,240,0,40,0,10,25,0,100,40,0,10,80,0,0,0,35
"114","35240227","DA","35240227",0.1583,593,297,285,"3524001","3524","5350606.00","35535",0,25,0,180,90,365,0,50,30,30,15,20,120,45,0,30,140,25,15,0,0
"115","35240228","DA","35240228",0.128,472,147,146,"3524001","3524","5350606.00","35535",0,10,0,155,50,200,0,30,20,10,20,0,60,30,10,15,125,10,0,0,0
"116","35240229","DA","35240229",0.203,579,208,202,"3524001","3524","5350606.00","35535",10,60,0,200,70,315,20,105,35,15,40,0,85,15,0,10,105,10,20,0,0
"117","35240230","DA","35240230",0.1588,417,163,150,"3524001","3524","5350606.00","35535",0,20,15,160,55,215,0,40,15,20,20,0,45,60,0,0,105,20,0,0,0
"118","35240231","DA","35240231",0.2288,501,180,172,"3524001","3524","5350606.00","35535",10,30,10,225,65,200,0,45,25,10,35,10,55,20,0,10,100,0,0,0,0
"119","35240232","DA","35240232",0.1746,483,176,169,"3524001","3524","5350606.00","35535",0,50,0,180,95,285,10,50,35,25,30,0,65,35,0,20,170,0,0,0,0
"120","35240233","DA","35240233",0.2561,622,231,219,"3524001","3524","5350606.00","35535",0,35,0,160,90,340,25,70,25,20,20,25,75,25,0,10,135,0,0,0,0
"121","35240234","DA","35240234",0.4101,728,273,250,"3524001","3524","5350607.00","35535",0,65,0,260,105,345,15,90,30,0,10,20,75,35,0,15,135,0,10,0,0
"122","35240235","DA","35240235",0.2288,529,184,174,"3524001","3524","5350607.00","35535",0,40,0,215,90,270,15,70,25,10,20,10,85,20,0,0,95,15,0,0,0
"123","35240236","DA","35240236",0.145,444,147,140,"3524001","3524","5350607.00","35535",0,15,0,155,55,180,0,35,20,0,25,0,55,60,0,0,125,0,0,0,0
"124","35240237","DA","35240237",0.2699,510,183,178,"3524001","3524","5350607.00","35535",0,25,0,120,80,310,10,55,10,25,50,25,80,30,0,10,110,0,0,0,10
"125","35240238","DA","35240238",0.1739,343,133,128,"3524001","3524","5350607.00","35535",0,25,0,90,45,155,15,35,10,15,20,0,10,25,10,0,80,0,0,0,0
"126","35240239","DA","35240239",2.0141,514,193,182,"3524001","3524","5350607.00","35535",0,25,0,150,100,310,0,55,35,0,20,10,80,70,0,10,185,0,0,0,0
"127","35240240","DA","35240240",0.1774,448,170,159,"3524001","3524","5350608.00","35535",10,40,0,150,70,225,0,70,30,35,0,0,50,25,0,15,120,0,0,0,10
"128","35240241","DA","35240241",0.3253,607,204,194,"3524001","3524","5350608.00","35535",0,50,0,150,115,335,10,85,20,20,35,0,90,50,0,20,180,0,0,0,0
"129","35240242","DA","35240242",0.1997,623,139,136,"3524001","3524","5350608.00","35535",0,15,0,120,80,295,0,35,0,15,10,0,130,30,0,60,170,40,20,0,0
"130","35240243","DA","35240243",0.1725,497,175,161,"3524001","3524","5350608.00","35535",0,20,0,190,75,280,0,55,30,25,0,0,90,50,15,10,140,10,0,0,15
"131","35240244","DA","35240244",0.341,765,272,253,"3524001","3524","5350611.00","35535",0,50,0,295,145,380,15,70,35,20,25,20,110,55,0,25,200,0,0,0,0
"132","35240245","DA","35240245",0.1977,477,174,165,"3524001","3524","5350611.00","35535",0,10,0,90,60,180,0,40,0,10,20,15,50,15,0,0,65,0,0,0,0
"133","35240246","DA","35240246",0.2174,496,162,153,"3524001","3524","5350611.00","35535",0,35,0,115,80,295,0,50,30,15,25,10,80,35,10,15,120,10,15,0,0
"134","35240247","DA","35240247",0.0965,314,122,120,"3524001","3524","5350611.00","35535",0,15,0,120,45,130,15,45,15,15,0,0,10,15,0,15,75,0,0,0,0
"135","35240248","DA","35240248",0.2646,564,185,182,"3524001","3524","5350611.00","35535",0,40,0,160,100,335,10,75,45,0,30,20,75,55,10,0,180,15,0,0,0
"136","35240249","DA","35240249",0.1837,469,159,156,"3524001","3524","5350611.00","35535",0,25,0,130,90,235,15,30,15,0,15,10,65,50,0,0,95,15,0,0,0
"137","35240250","DA","35240250",0.1715,474,159,154,"3524001","3524","5350610.03","35535",0,25,0,70,100,290,0,55,20,30,35,10,90,30,0,10,155,0,0,0,0
"138","35240251","DA","35240251",0.2949,939,543,531,"3524001","3524","5350610.03","35535",10,35,15,450,115,375,15,70,15,35,50,25,105,40,0,20,140,0,15,0,10
"139","35240252","DA","35240252",0.2358,528,232,221,"3524001","3524","5350610.03","35535",0,45,0,180,75,300,15,45,25,15,65,10,60,30,0,0,125,10,0,0,0
"140","35240253","DA","35240253",0.077,861,528,500,"3524001","3524","5350610.03","35535",10,30,0,400,115,410,25,95,0,30,55,0,125,55,0,0,185,15,10,0,0
"141","35240254","DA","35240254",0.1758,350,184,172,"3524001","3524","5350610.03","35535",0,30,0,85,55,200,0,40,15,10,15,0,75,20,0,0,55,15,15,0,0
"142","35240255","DA","35240255",0.0806,996,606,578,"3524001","3524","5350610.04","35535",0,0,0,620,70,180,0,25,10,0,25,10,55,20,0,0,60,0,10,0,0
"143","35240256","DA","35240256",0.312,550,190,185,"3524001","3524","5350610.04","35535",0,25,0,170,105,295,10,65,55,10,30,0,55,45,15,15,125,0,0,0,0
"144","35240257","DA","35240257",0.0991,453,194,184,"3524001","3524","5350610.04","35535",0,40,0,100,90,310,0,65,35,20,35,10,80,20,0,0,85,20,0,0,0
"145","35240258","DA","35240258",0.0629,214,96,94,"3524001","3524","5350610.04","35535",0,10,0,95,0,70,0,20,0,0,10,0,25,0,0,0,40,15,0,0,0
"146","35240259","DA","35240259",0.144,1411,929,895,"3524001","3524","5350610.03","35535",10,30,0,955,135,495,15,105,50,20,35,30,120,60,10,20,195,0,10,0,0
"147","35240263","DA","35240263",0.1164,373,132,127,"3524001","3524","5350610.05","35535",0,30,0,100,85,205,10,40,15,15,30,10,45,10,0,10,95,0,0,0,0
"148","35240265","DA","35240265",0.1107,377,132,131,"3524001","3524","5350610.05","35535",0,35,0,80,90,275,25,75,30,25,15,0,70,25,0,10,125,0,0,0,0
"149","35240266","DA","35240266",0.2746,531,181,179,"3524001","3524","5350610.05","35535",0,70,0,165,85,270,0,70,20,20,50,0,60,20,0,0,125,15,0,0,0
"150","35240267","DA","35240267",8.031,51,18,17,"3524001","3524","5350612.01","35535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","35240268","DA","35240268",0.9418,815,278,276,"3524001","3524","5350611.00","35535",0,50,0,265,145,440,25,85,35,20,30,25,105,85,0,10,205,20,10,0,0
"152","35240269","DA","35240269",2.6202,807,283,276,"3524001","3524","5350611.00","35535",0,50,0,230,140,390,0,75,70,35,50,10,105,50,0,15,175,30,10,0,10
"153","35240270","DA","35240270",0.5218,571,210,199,"3524001","3524","5350608.00","35535",0,50,0,170,90,265,0,55,25,50,15,10,40,45,0,15,150,25,0,0,0
"154","35240271","DA","35240271",0.0889,318,107,106,"3524001","3524","5350611.00","35535",0,0,0,105,50,150,0,30,20,10,30,0,35,10,0,0,65,0,0,0,0
