"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_1: Population, 2021","v_CA21_4: Total private dwellings","v_CA21_7: Land area in square kilometres","v_CA21_6: Population density per square kilometre","v_CA21_16: 0 to 4 years","v_CA21_34: 5 to 9 years","v_CA21_52: 10 to 14 years","v_CA21_73: 15 to 19 years","v_CA21_91: 20 to 24 years","v_CA21_109: 25 to 29 years","v_CA21_127: 30 to 34 years","v_CA21_145: 35 to 39 years","v_CA21_163: 40 to 44 years","v_CA21_181: 45 to 49 years","v_CA21_199: 50 to 54 years","v_CA21_217: 55 to 59 years","v_CA21_235: 60 to 64 years","v_CA21_253: 65 years and over","v_CA21_258: 65","v_CA21_388: Average age","v_CA21_391: Average age","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_436: Semi-detached house","v_CA21_437: Row house","v_CA21_438: Apartment or flat in a duplex","v_CA21_439: Apartment in a building that has fewer than five storeys","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_459: Married","v_CA21_462: Living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_492: Census families in private households by family size","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families"
"31","35240132","DA","35240132",0.153,514,183,182,"3524001","3524","5350614.02","35535",514,183,0.15,3359.5,20,15,20,5,15,10,15,20,20,20,15,20,15,60,5,43.2,43.2,185,145,35,0,5,0,0,0,0,240,30,80,5,15,25,165,75,35,40,10,2.9
"32","35240134","DA","35240134",2.8644,503,166,162,"3524001","3524","5350600.02","35535",503,166,2.86,175.6,15,20,20,30,20,15,10,15,25,25,20,15,25,20,0,36.2,38.4,160,55,0,105,0,0,0,0,0,140,20,170,15,30,10,145,55,40,30,15,3.2
"33","35240135","DA","35240135",0.7764,636,219,208,"3524001","3524","5350601.00","35535",636,219,0.78,819.2,10,20,35,40,20,10,10,15,30,35,30,20,20,45,5,38.4,41.6,210,205,0,0,5,0,0,0,0,295,10,160,5,20,20,180,55,45,55,20,3.3
"34","35240136","DA","35240136",0.1876,453,146,141,"3524001","3524","5350601.00","35535",453,146,0.19,2414.7,5,10,25,30,10,5,5,10,10,25,25,15,20,30,5,40.2,43.6,140,140,0,0,0,0,0,0,0,220,10,110,10,15,15,125,35,30,50,20,3.4
"35","35240137","DA","35240137",0.2875,508,157,155,"3524001","3524","5350601.00","35535",508,157,0.29,1767,5,10,30,25,25,10,5,5,15,40,25,20,10,30,5,40.4,45.2,155,150,0,0,0,0,0,0,0,265,5,135,5,0,15,145,35,40,50,15,3.4
"36","35240138","DA","35240138",0.3416,442,144,142,"3524001","3524","5350601.00","35535",442,144,0.34,1293.9,10,10,15,25,15,5,10,5,15,30,25,15,10,40,5,42,46.4,145,145,0,0,0,0,0,0,0,230,0,110,10,5,15,130,45,30,40,15,3.2
"37","35240139","DA","35240139",0.2784,437,137,135,"3524001","3524","5350601.00","35535",437,137,0.28,1569.7,0,15,15,25,15,0,5,5,15,20,30,20,15,30,5,42,46.8,135,135,0,0,0,0,0,0,0,220,5,100,5,10,15,125,40,30,40,20,3.4
"38","35240140","DA","35240140",0.5217,578,201,188,"3524001","3524","5350601.00","35535",578,201,0.52,1107.9,5,10,20,25,25,10,5,10,15,25,25,25,20,60,10,44.6,48,185,150,0,5,0,30,0,0,0,305,15,135,10,5,20,170,75,25,50,20,3.2
"39","35240141","DA","35240141",0.3449,415,128,122,"3524001","3524","5350601.00","35535",415,128,0.34,1203.2,0,5,20,20,25,5,5,5,10,25,25,20,10,35,0,43,46.4,125,120,0,0,0,0,0,0,0,205,10,105,0,5,15,110,35,25,35,25,3.5
"40","35240142","DA","35240142",0.2711,429,139,134,"3524001","3524","5350600.01","35535",429,139,0.27,1582.4,0,10,20,20,15,5,5,5,15,25,20,10,20,35,5,42.6,46.4,135,135,0,0,0,0,0,0,0,215,5,105,5,10,10,125,45,20,40,20,3.3
"41","35240143","DA","35240143",0.2352,571,183,177,"3524001","3524","5350600.01","35535",571,183,0.24,2427.7,5,15,35,30,15,15,5,15,20,35,30,20,10,50,0,39.8,42,180,180,0,0,0,0,0,0,0,280,10,125,5,15,20,165,50,50,45,25,3.3
"42","35240144","DA","35240144",0.3575,568,192,188,"3524001","3524","5350600.01","35535",568,192,0.36,1588.8,5,15,20,30,20,15,5,5,20,30,25,15,20,60,5,43,46.8,185,185,0,0,0,0,0,0,0,315,15,130,0,5,15,170,65,35,55,20,3.2
"43","35240145","DA","35240145",0.1811,520,195,189,"3524001","3524","5350600.01","35535",520,195,0.18,2871.3,5,15,20,20,15,0,5,10,20,30,20,15,20,70,10,45.4,48.4,190,190,0,0,0,0,0,0,0,280,10,100,5,20,20,165,70,40,40,10,3
"44","35240146","DA","35240146",0.1989,450,149,149,"3524001","3524","5350600.01","35535",450,149,0.2,2262.4,5,20,25,20,10,5,0,10,15,20,25,20,15,40,5,40.4,45.2,145,145,0,0,0,0,0,0,0,225,15,90,0,10,15,135,50,30,40,15,3.2
"45","35240147","DA","35240147",1.7225,718,236,231,"3524001","3524","5350600.01","35535",718,236,1.72,416.8,5,15,45,25,10,0,5,10,30,35,40,20,20,65,0,43.6,47.6,230,230,5,0,0,0,0,0,0,370,25,150,10,10,15,215,80,40,55,35,3.2
"46","35240148","DA","35240148",0.6196,566,180,178,"3524001","3524","5350600.01","35535",566,180,0.62,913.5,5,15,25,30,25,5,0,20,30,30,15,25,15,50,0,41,43.2,180,180,0,0,0,0,0,0,0,300,10,115,0,10,15,165,50,40,55,15,3.2
"47","35240150","DA","35240150",0.0794,460,149,148,"3524001","3524","5350600.02","35535",460,149,0.08,5793.5,15,10,15,15,10,15,5,20,25,15,20,25,15,30,5,40,42.8,145,55,20,60,0,0,5,0,0,210,15,100,15,20,10,140,40,40,50,5,3.1
"48","35240152","DA","35240152",0.1624,525,169,167,"3524001","3524","5350600.02","35535",525,169,0.16,3232.8,15,10,15,10,15,15,10,15,15,25,15,20,25,50,0,44,47.2,165,130,0,30,5,0,0,0,0,280,15,125,10,10,10,165,65,45,50,5,3
"49","35240153","DA","35240153",0.0744,363,107,107,"3524001","3524","5350600.02","35535",363,107,0.07,4879,5,10,15,15,10,5,5,10,15,15,5,20,15,40,5,43.4,44.4,105,100,0,0,10,0,0,0,0,185,15,85,0,5,15,105,40,30,30,10,3.1
"50","35240154","DA","35240154",0.1067,468,144,141,"3524001","3524","5350600.02","35535",468,144,0.11,4386.1,10,15,20,20,15,15,10,15,15,20,15,15,20,30,5,40.2,43.2,145,135,0,0,5,0,0,0,0,250,15,95,5,10,15,135,45,35,35,15,3.2
"51","35240155","DA","35240155",0.082,444,145,144,"3524001","3524","5350600.02","35535",444,145,0.08,5414.6,15,10,15,20,15,10,10,15,15,15,20,15,15,35,0,40.6,42.4,145,140,0,0,0,0,0,0,0,220,10,100,15,15,15,130,55,25,40,10,3.1
"52","35240156","DA","35240156",0.2625,568,177,174,"3524001","3524","5350600.02","35535",568,177,0.26,2163.8,15,15,20,10,10,15,15,25,15,30,20,20,20,55,0,43,46,175,170,0,0,5,0,0,0,0,310,5,120,5,10,15,165,50,45,60,10,3.2
"53","35240157","DA","35240157",0.5956,434,128,127,"3524001","3524","5350600.02","35535",434,128,0.6,728.7,5,15,15,20,10,10,0,10,25,20,15,10,20,35,0,40.8,43.2,130,115,0,0,10,0,0,0,0,210,10,95,10,15,10,130,50,30,35,10,3.1
"54","35240158","DA","35240158",0.1057,419,126,123,"3524001","3524","5350600.02","35535",419,126,0.11,3964,10,20,15,15,5,10,10,15,15,10,15,10,25,45,5,41.6,43.2,120,120,0,0,0,0,0,0,0,225,5,80,5,10,20,125,45,25,40,15,3.1
"55","35240159","DA","35240159",0.1027,368,118,117,"3524001","3524","5350600.02","35535",368,118,0.1,3583.3,5,5,15,20,10,5,5,5,15,10,15,10,20,35,0,44.6,49.2,120,110,0,0,5,0,0,0,0,205,5,85,5,5,10,115,50,30,30,5,3
"56","35240160","DA","35240160",0.2729,588,191,190,"3524001","3524","5350600.02","35535",588,191,0.27,2154.6,10,20,20,15,15,15,10,10,20,25,20,35,25,60,0,44,46.8,190,155,0,25,10,0,0,0,0,310,20,120,15,15,25,175,75,45,45,15,3
"57","35240161","DA","35240161",0.2724,596,176,172,"3524001","3524","5350600.02","35535",596,176,0.27,2188,15,20,15,25,20,10,5,15,25,30,20,20,20,60,0,42.6,45.2,170,160,0,0,15,0,0,0,0,325,0,140,5,10,20,175,65,40,45,25,3.2
"58","35240162","DA","35240162",0.1144,455,140,139,"3524001","3524","5350600.02","35535",455,140,0.11,3977.3,10,15,20,15,10,10,10,20,10,15,20,20,25,45,0,43,47.6,140,140,0,0,0,0,0,0,0,250,5,100,5,10,10,135,50,35,40,10,3.1
"59","35240165","DA","35240165",0.3556,963,315,313,"3524001","3524","5350612.28","35535",963,315,0.36,2708.1,15,20,30,35,35,15,10,20,30,35,50,50,60,75,10,44.1,49.2,315,245,0,65,0,0,0,0,0,510,25,225,10,30,15,295,110,85,70,30,3.1
"60","35240166","DA","35240166",0.0956,377,122,121,"3524001","3524","5350612.25","35535",377,122,0.1,3943.5,10,10,10,15,10,15,10,10,15,10,10,15,20,45,5,45.8,49.2,120,120,0,0,0,0,0,0,0,200,5,85,0,15,15,120,50,25,30,10,3.1
"61","35240167","DA","35240167",0.1602,441,135,135,"3524001","3524","5350612.25","35535",441,135,0.16,2752.8,5,10,15,10,25,10,5,10,20,15,20,15,15,45,0,43.8,45.2,135,135,0,0,5,0,0,0,0,230,10,100,5,10,15,130,45,35,40,5,3.1
"62","35240168","DA","35240168",0.2098,718,250,246,"3524001","3524","5350614.02","35535",718,250,0.21,3422.3,10,20,25,25,20,15,15,20,20,30,30,25,25,75,10,43.5,46.4,245,240,0,0,5,0,0,0,0,320,50,155,15,25,25,210,85,50,55,20,3.1
"63","35240169","DA","35240169",0.1171,756,273,271,"3524001","3524","5350614.01","35535",756,273,0.12,6456,25,25,20,20,20,25,30,25,35,35,30,35,35,40,5,39.7,42,270,25,95,150,0,0,0,0,0,320,40,175,15,40,15,220,85,60,65,15,3.1
"64","35240170","DA","35240170",0.1729,437,171,169,"3524001","3524","5350612.25","35535",437,171,0.17,2527.5,5,10,15,15,10,15,10,10,15,25,25,15,20,50,0,45.2,49.6,165,40,25,90,10,0,0,0,0,200,15,95,10,35,20,130,65,35,30,10,2.9
"65","35240171","DA","35240171",0.0966,432,140,139,"3524001","3524","5350612.25","35535",432,140,0.1,4472,5,10,10,15,10,5,10,10,10,20,10,25,20,40,5,44.4,48.8,140,100,35,0,0,0,0,0,0,240,10,100,5,10,10,140,50,50,25,10,3
"66","35240172","DA","35240172",0.1089,424,137,135,"3524001","3524","5350612.25","35535",424,137,0.11,3893.5,5,10,15,20,15,5,5,10,15,20,10,20,30,40,5,43.8,46.8,135,130,0,0,5,0,0,0,0,245,5,95,5,10,10,135,55,30,40,5,3
"67","35240173","DA","35240173",0.1113,444,136,133,"3524001","3524","5350612.08","35535",444,136,0.11,3989.2,10,20,15,15,15,15,10,10,10,15,15,15,25,35,0,41.4,43.2,130,130,0,0,0,0,0,0,0,240,10,115,0,5,5,130,40,40,35,20,3.2
"68","35240174","DA","35240174",0.0607,227,74,73,"3524001","3524","5350612.08","35535",227,74,0.06,3739.7,5,5,10,10,5,5,5,5,10,5,15,10,5,20,0,41.2,43.6,75,70,0,0,0,0,0,0,0,130,10,40,5,5,5,75,30,10,20,5,3
"69","35240175","DA","35240175",0.3,597,185,183,"3524001","3524","5350612.08","35535",597,185,0.3,1990,10,10,30,25,20,25,15,10,15,30,20,20,20,55,0,42,43.6,180,180,0,0,5,0,0,0,0,290,15,165,5,5,25,165,60,45,40,30,3.3
"70","35240176","DA","35240176",0.0949,409,126,122,"3524001","3524","5350612.08","35535",409,126,0.09,4309.8,10,5,10,15,15,10,10,5,15,10,20,10,25,40,5,44,44.8,120,105,0,0,15,0,0,0,0,200,10,110,5,10,15,110,35,30,40,0,3.1
"71","35240177","DA","35240177",0.1145,465,147,142,"3524001","3524","5350612.08","35535",465,147,0.11,4061.1,10,10,10,10,15,15,15,10,15,10,10,20,15,60,5,45.4,46.4,140,125,0,0,15,0,0,0,0,255,0,115,0,15,15,140,70,25,35,10,2.9
"72","35240179","DA","35240179",0.1715,474,154,151,"3524001","3524","5350612.27","35535",474,154,0.17,2763.8,10,20,15,10,10,10,15,10,10,10,20,20,20,50,5,43.4,47.2,155,140,0,0,5,0,0,0,0,250,5,115,10,10,20,140,50,35,45,10,3.1
"73","35240180","DA","35240180",0.0516,254,87,87,"3524001","3524","5350612.27","35535",254,87,0.05,4922.5,5,10,10,10,5,10,5,15,5,10,10,15,10,10,0,40.8,41.2,85,50,0,35,0,0,0,0,0,115,5,70,10,5,5,75,30,20,15,5,3.1
"74","35240181","DA","35240181",0.1979,615,216,212,"3524001","3524","5350612.27","35535",615,216,0.2,3107.6,15,25,20,10,20,25,10,20,20,30,25,15,25,55,5,41.2,43.6,210,90,0,115,5,0,0,0,0,290,20,160,5,25,15,180,75,45,45,10,3
"75","35240182","DA","35240182",0.0807,361,116,115,"3524001","3524","5350612.27","35535",361,116,0.08,4473.4,10,10,10,10,10,5,15,10,15,10,10,15,20,30,5,41.2,42,115,85,0,30,0,0,0,0,0,175,10,80,5,15,10,105,40,20,30,10,3.2
"76","35240184","DA","35240184",0.2143,976,448,440,"3524001","3524","5350612.27","35535",976,448,0.21,4554.4,15,20,25,30,25,25,25,25,35,30,35,40,40,190,5,50.2,52.8,440,15,30,210,0,185,0,0,0,355,45,250,35,80,95,275,140,65,60,10,2.8
"77","35240188","DA","35240188",0.1088,478,154,152,"3524001","3524","5350612.25","35535",478,154,0.11,4393.4,5,20,15,10,15,5,15,10,10,25,10,30,20,35,5,42.4,46,155,105,0,45,0,0,0,0,0,255,0,115,5,15,10,140,55,25,50,10,3.2
"78","35240189","DA","35240189",0.5951,1023,402,397,"3524001","3524","5350613.03","35535",1023,402,0.6,1719,20,40,25,55,25,30,25,30,40,40,35,40,40,105,5,42.1,43.6,395,135,70,80,5,0,100,0,0,355,60,310,35,75,40,295,145,70,65,20,2.9
"79","35240192","DA","35240192",0.1436,525,189,181,"3524001","3524","5350613.04","35535",525,189,0.14,3656,10,5,15,25,15,15,15,15,15,15,25,15,30,55,0,43.2,45.2,180,180,0,0,0,0,0,0,0,255,15,140,5,20,20,150,60,35,40,10,3.1
"80","35240193","DA","35240193",0.1452,1074,476,428,"3524001","3524","5350613.04","35535",1074,476,0.15,7396.7,20,10,25,35,105,65,40,20,35,40,30,25,30,70,5,37.7,31,430,45,45,0,110,5,225,0,0,295,75,470,30,50,35,250,130,65,45,10,2.8
"81","35240194","DA","35240194",0.3123,770,369,357,"3524001","3524","5350613.04","35535",770,369,0.31,2465.6,20,10,20,25,30,20,20,20,20,20,20,30,25,165,0,50.8,55.2,355,35,10,100,0,5,205,0,0,325,55,175,20,50,65,215,135,45,20,15,2.6
"82","35240195","DA","35240195",0.0627,631,265,254,"3524001","3524","5350613.04","35535",631,265,0.06,10063.8,10,20,20,15,25,30,30,30,20,30,30,15,15,55,0,40.2,37.6,255,30,5,0,5,0,210,0,0,225,45,170,20,40,30,170,85,35,35,15,2.9
"83","35240196","DA","35240196",0.1524,420,135,134,"3524001","3524","5350614.01","35535",420,135,0.15,2755.9,5,15,15,15,20,5,5,15,5,15,15,10,10,55,0,44.2,47.6,135,135,0,0,0,0,0,0,0,240,10,85,5,0,10,125,50,20,40,10,3.1
"84","35240197","DA","35240197",0.1332,508,177,176,"3524001","3524","5350614.01","35535",508,177,0.13,3813.8,10,10,15,15,15,15,15,15,10,20,20,25,25,45,5,43.8,46.8,175,120,0,50,0,0,0,0,0,260,30,105,15,20,10,165,80,35,40,10,2.8
"85","35240198","DA","35240198",0.1385,452,154,150,"3524001","3524","5350600.01","35535",452,154,0.14,3263.5,15,15,20,10,10,5,5,20,20,15,20,15,5,55,0,43.2,44.4,150,150,0,0,0,0,0,0,0,230,10,85,5,10,15,135,50,35,40,10,3.1
"86","35240199","DA","35240199",0.2147,519,162,159,"3524001","3524","5350600.01","35535",519,162,0.21,2417.3,5,20,30,25,15,5,0,15,20,25,15,15,15,45,5,39.8,42.4,160,155,0,0,0,0,0,0,0,270,5,110,5,5,10,150,50,30,55,20,3.3
"87","35240200","DA","35240200",0.2253,458,155,151,"3524001","3524","5350600.01","35535",458,155,0.23,2032.8,5,15,20,25,20,10,5,5,10,25,30,20,0,55,5,42.6,46,150,150,0,0,0,0,0,0,0,245,10,110,10,5,10,130,50,25,30,20,3.3
"88","35240201","DA","35240201",0.26,439,130,129,"3524001","3524","5350600.01","35535",439,130,0.26,1688.5,10,15,15,20,15,10,5,15,15,20,30,10,5,35,0,39.2,41.6,125,125,0,0,0,0,0,0,0,230,5,110,0,10,10,125,35,35,30,30,3.4
"89","35240202","DA","35240202",0.5187,583,200,194,"3524001","3524","5350600.01","35535",583,200,0.52,1124,5,20,20,20,15,15,10,10,5,20,35,20,20,75,10,46,51.2,190,190,0,0,0,0,0,0,0,340,10,120,5,0,20,185,75,55,40,15,3.1
"90","35240203","DA","35240203",0.5163,492,177,169,"3524001","3524","5350602.00","35535",492,177,0.52,952.9,10,15,20,30,15,10,5,5,15,20,25,30,20,45,5,43,48.8,170,165,0,0,0,10,0,0,0,265,10,110,5,15,20,145,60,20,45,15,3.1
"91","35240204","DA","35240204",0.3619,412,132,127,"3524001","3524","5350602.00","35535",412,132,0.36,1138.4,5,10,20,25,20,5,5,5,10,15,25,25,15,20,5,39.6,44.8,130,130,0,0,0,0,0,0,0,210,5,105,0,15,10,115,35,20,40,15,3.4
"92","35240205","DA","35240205",0.3079,418,127,121,"3524001","3524","5350602.00","35535",418,127,0.31,1357.6,5,10,20,30,20,5,5,5,10,20,30,15,10,30,0,41,46,120,120,0,0,0,0,0,0,0,205,5,100,5,10,15,115,40,20,35,20,3.4
